filSpacing,actinMax,filSpringC,filSpringL,,maxLen,averageExtendingTime,averageRetractingTime,timeAtMax,
1.0,512,0.95,0.1,,0.4895598286147693,0.47647082337916724,0.7608454387564998,0.567191844300278,
2.0,512,0.95,0.1,,0.5962543998553552,0.43162617487438354,0.7580086845197997,0.6789976133651552,
3.0,512,0.95,0.1,,0.6095950778469376,0.4385764047028659,0.7601757670833122,0.695796313486275,
4.0,512,0.95,0.1,,0.6293589270333456,0.43740617694106065,0.7626430417128092,0.7211703958691911,
5.0,512,0.95,0.1,,0.5925211940836941,0.4520314754689755,0.769266323953824,0.6835502958579882,
6.0,512,0.95,0.1,,0.6434044882320744,0.42601002326217846,0.7685969143404489,0.7323110034974442,
7.0,512,0.95,0.1,,0.6250379299159787,0.43450942231430034,0.7653053750614727,0.711418229680816,
2,450.0,0.95,0.1,,0.5987762978157856,0.43414631141418764,0.7576558387657641,0.6805851579151327,
2,500.0,0.95,0.1,,0.588089619454437,0.4395868094228162,0.7594183355452286,0.672274923930553,
2,550.0,0.95,0.1,,0.5984386488473682,0.4296526966826694,0.7562821677263094,0.6826754812366322,
2,600.0,0.95,0.1,,0.6050172089758395,0.43112164028711825,0.7574525054910219,0.6894526034712951,
2,512,0.1,0.1,,0.6248894687250852,0.4258461984489382,0.4056534029136769,0.7065316455696202,
2,512,0.4,0.1,,0.6173211274391713,0.4264032763189593,0.5874488075162612,0.7013765333832755,
2,512,0.7,0.1,,0.5984772390840069,0.4279416939860347,0.6942880793522568,0.6846539978486913,
2,512,1.0,0.1,,0.6133151359601521,0.4247766862459223,0.7632291952941468,0.696297743479535,
2,512,1.3,0.1,,0.6130088826631059,0.42757475718081256,0.7649220821421063,0.6963395772469496,
2,512,1.6,0.1,,0.6281048681676297,0.42422959420867373,0.7616598592017003,0.7137008971343959,
2,512,1.9000000000000001,0.1,,0.6129884494149721,0.43326611337409376,0.7626064204434375,0.6978526315789474,
2,512,0.95,0.01,,0.6143661980584455,0.4259300692346894,0.7555732682005196,0.697615324472244,
2,512,0.95,0.04,,0.623242716546778,0.4190888998792402,0.7562447309977496,0.7116699012741541,
2,512,0.95,0.07,,0.5817553703725781,0.4397327430791505,0.7593522039820964,0.6643875594096557,
2,512,0.95,0.1,,0.6121204294946581,0.4227901122421414,0.7602675881149792,0.6973094170403588,
2,512,0.95,0.13,,0.6094840317714219,0.4302810255889435,0.7605040772196197,0.6950732356857523,
2,512,0.95,0.16,,0.6092458918545876,0.41611176393785093,0.7552925596403857,0.6934686006539783,
2,512,0.95,0.19,,0.6131695612076429,0.4227992944070887,0.7537895960353473,0.6970235450910707,
